Energy,Momentum,Parton,CTEQ6D Value,CTEQ6L1 Value
4,1,5,0.0,0.0
4,1,6,0.0,0.0
4,1,7,0.0,0.0
5,1,0,0.0,0.0
5,1,1,0.0,0.0
5,1,2,0.0,0.0
5,1,3,0.0,0.0
5,1,4,0.0,0.0
5,1,5,0.0,0.0
5,1,6,0.0,0.0
5,1,7,0.0,0.0
6,1,0,0.0,0.0
6,1,1,0.0,0.0
6,1,2,0.0,0.0
6,1,3,0.0,0.0
6,1,4,0.0,0.0
6,1,5,0.0,0.0
6,1,6,0.0,0.0
6,1,7,0.0,0.0
7,1,0,0.0,0.0
7,1,1,0.0,0.0
7,1,2,0.0,0.0
7,1,3,0.0,0.0
7,1,4,0.0,0.0
7,1,5,0.0,0.0
7,1,6,0.0,0.0
7,1,7,0.0,0.0
8,1,0,0.0,0.0
8,1,1,0.0,0.0
8,1,2,0.0,0.0
8,1,3,0.0,0.0
8,1,4,0.0,0.0
8,1,5,0.0,0.0
8,1,6,0.0,0.0
8,1,7,0.0,0.0
9,1,0,0.0,0.0
9,1,1,0.0,0.0
9,1,2,0.0,0.0
9,1,3,0.0,0.0
9,1,4,0.0,0.0
9,1,5,0.0,0.0
9,1,6,0.0,0.0
9,1,7,0.0,0.0
10,1,0,0.0,0.0
10,1,1,0.0,0.0
10,1,2,0.0,0.0
10,1,3,0.0,0.0
10,1,4,0.0,0.0
10,1,5,0.0,0.0
10,1,6,0.0,0.0
10,1,7,0.0,0.0
11,1,0,0.0,0.0
11,1,1,0.0,0.0
11,1,2,0.0,0.0
11,1,3,0.0,0.0
11,1,4,0.0,0.0
11,1,5,0.0,0.0
11,1,6,0.0,0.0
11,1,7,0.0,0.0
12,1,0,0.0,0.0
12,1,1,0.0,0.0
12,1,2,0.0,0.0
12,1,3,0.0,0.0
12,1,4,0.0,0.0
12,1,5,0.0,0.0
12,1,6,0.0,0.0
12,1,7,0.0,0.0
13,1,0,0.0,0.0
13,1,1,0.0,0.0
13,1,2,0.0,0.0
13,1,3,0.0,0.0
13,1,4,0.0,0.0
13,1,5,0.0,0.0
13,1,6,0.0,0.0
13,1,7,0.0,0.0
14,1,0,0.0,0.0
14,1,1,0.0,0.0
14,1,2,0.0,0.0
14,1,3,0.0,0.0
14,1,4,0.0,0.0
14,1,5,0.0,0.0
14,1,6,0.0,0.0
14,1,7,0.0,0.0
15,1,0,0.0,0.0
15,1,1,0.0,0.0
15,1,2,0.0,0.0
15,1,3,0.0,0.0
15,1,4,0.0,0.0
15,1,5,0.0,0.0
15,1,6,0.0,0.0
15,1,7,0.0,0.0
16,1,0,0.0,0.0
16,1,1,0.0,0.0
16,1,2,0.0,0.0
16,1,3,0.0,0.0
16,1,4,0.0,0.0
16,1,5,0.0,0.0
16,1,6,0.0,0.0
16,1,7,0.0,0.0
17,1,0,0.0,0.0
17,1,1,0.0,0.0
17,1,2,0.0,0.0
17,1,3,0.0,0.0
17,1,4,0.0,0.0
17,1,5,0.0,0.0
17,1,6,0.0,0.0
17,1,7,0.0,0.0
18,1,0,0.0,0.0
18,1,1,0.0,0.0
18,1,2,0.0,0.0
18,1,3,0.0,0.0
18,1,4,0.0,0.0
18,1,5,0.0,0.0
18,1,6,0.0,0.0
18,1,7,0.0,0.0
19,1,0,0.0,0.0
19,1,1,0.0,0.0
19,1,2,0.0,0.0
19,1,3,0.0,0.0
19,1,4,0.0,0.0
19,1,5,0.0,0.0
19,1,6,0.0,0.0
19,1,7,0.0,0.0
0,2,0,0.0,0.0
0,2,1,0.0,0.0
0,2,2,0.0,0.0
0,2,3,0.0,0.0
0,2,4,0.0,0.0
0,2,5,0.0,0.0
0,2,6,0.0,0.0
0,2,7,0.0,0.0
1,2,0,0.0,0.0
1,2,1,0.0,0.0
1,2,2,0.0,0.0
1,2,3,0.0,0.0
1,2,4,0.0,0.0
1,2,5,0.0,0.0
1,2,6,0.0,0.0
1,2,7,0.0,0.0
2,2,0,0.0,0.0
2,2,1,0.0,0.0
2,2,2,0.0,0.0
2,2,3,0.0,0.0
2,2,4,0.0,0.0
2,2,5,0.0,0.0
2,2,6,0.0,0.0
2,2,7,0.0,0.0
3,2,0,0.0,0.0
3,2,1,0.0,0.0
3,2,2,0.0,0.0
3,2,3,0.0,0.0
3,2,4,0.0,0.0
3,2,5,0.0,0.0
3,2,6,0.0,0.0
3,2,7,0.0,0.0
4,2,0,0.0,0.0
4,2,1,0.0,0.0
4,2,2,0.0,0.0
4,2,3,0.0,0.0
4,2,4,0.0,0.0
4,2,5,0.0,0.0
4,2,6,0.0,0.0
4,2,7,0.0,0.0
5,2,0,0.0,0.0
5,2,1,0.0,0.0
5,2,2,0.0,0.0
5,2,3,0.0,0.0
5,2,4,0.0,0.0
5,2,5,0.0,0.0
5,2,6,0.0,0.0
5,2,7,0.0,0.0
6,2,0,0.0,0.0
6,2,1,0.0,0.0
6,2,2,0.0,0.0
6,2,3,0.0,0.0
6,2,4,0.0,0.0
6,2,5,0.0,0.0
6,2,6,0.0,0.0
6,2,7,0.0,0.0
7,2,0,0.0,0.0
7,2,1,0.0,0.0
7,2,2,0.0,0.0
7,2,3,0.0,0.0
7,2,4,0.0,0.0
7,2,5,0.0,0.0
7,2,6,0.0,0.0
7,2,7,0.0,0.0
8,2,0,0.0,0.0
8,2,1,0.0,0.0
8,2,2,0.0,0.0
8,2,3,0.0,0.0
8,2,4,0.0,0.0
8,2,5,0.0,0.0
